"model","year","price","transmission","mileage","fuelType","tax","mpg","engineSize","categorizat","period","log_engineSize","l_per_100km","distanta_km","transmission_binara","binar_fuelType","categorizat_numeric"
"C Class",2019,28524,"Automatic",8263,"Diesel",145,57.7,2,"C Class","2015-2020",0.693147180559945,4.07642980935875,13297.97642,1,0,3
"E Class",2019,24541,"Automatic",10279,"Diesel",145,67.3,2,"E Class","2015-2020",0.693147180559945,3.49494799405646,16542.40586,1,0,4
"E Class",2017,20880,"Automatic",37000,"Diesel",30,65.7,2,"E Class","2015-2020",0.693147180559945,3.58006088280061,59545.58,1,0,4
"A Class",2006,2880,"Automatic",66000,"Diesel",160,52.3,2,"A Class","2005-2010",0.693147180559945,4.49732313575526,106216.44,1,0,1
"CLC Class",2010,5880,"Automatic",40000,"Petrol",300,34,1.8,"C Class","2010-2015",0.587786664902119,6.91794117647059,64373.6,1,1,3
"C Class",2015,14940,"Automatic",43000,"Diesel",20,64.2,2.1,"C Class","2015-2020",0.741937344729377,3.66370716510903,69201.62,1,0,3
"SLK",2004,4890,"Automatic",46000,"Petrol",330,28,3.5,"S Class","2000-2005",1.25276296849537,8.40035714285714,74029.64,1,1,6
"SL CLASS",2010,16990,"Automatic",18000,"Petrol",555,29.1,3.5,"S Class","2010-2015",1.25276296849537,8.08281786941581,28968.12,1,1,6
"B Class",2010,3890,"Automatic",71000,"Petrol",240,40.9,1.5,"B Class","2010-2015",0.405465108108164,5.75085574572127,114263.14,1,1,2
"B Class",2011,3990,"Automatic",90000,"Petrol",240,40.9,1.5,"B Class","2010-2015",0.405465108108164,5.75085574572127,144840.6,1,1,2
"A Class",2011,3440,"Manual",74000,"Diesel",150,54.3,2,"A Class","2010-2015",0.693147180559945,4.3316758747698,119091.16,0,0,1
"GLE Class",2020,48995,"Automatic",3000,"Diesel",145,36.7,2,"G Class","2015-2020",0.693147180559945,6.40899182561308,4828.02,1,0,5
"SLK",2008,5980,"Automatic",60000,"Petrol",280,34.4,1.8,"S Class","2005-2010",0.587786664902119,6.8375,96560.4,1,1,6
"E Class",2015,13990,"Automatic",52000,"Diesel",125,60.1,2.1,"E Class","2015-2020",0.741937344729377,3.91364392678869,83685.68,1,0,4
"CLA Class",2016,14480,"Automatic",84000,"Petrol",200,42.8,2,"A Class","2015-2020",0.693147180559945,5.49556074766355,135184.56,1,1,1
"E Class",2010,6980,"Manual",79000,"Petrol",300,35.3,1.8,"E Class","2010-2015",0.587786664902119,6.66317280453258,127137.86,0,1,4
"C Class",2014,11290,"Automatic",48000,"Diesel",145,56.5,2.1,"C Class","2010-2015",0.741937344729377,4.16300884955752,77248.32,1,0,3
"E Class",2011,5740,"Manual",115000,"Diesel",160,52.3,2.1,"E Class","2010-2015",0.741937344729377,4.49732313575526,185074.1,0,0,4
"V Class",2017,31980,"Automatic",16000,"Diesel",145,44.8,2.1,"V Class","2015-2020",0.741937344729377,5.25022321428571,25749.44,1,0,7
"CLA Class",2014,15990,"Automatic",45000,"Diesel",30,62.8,2.1,"A Class","2010-2015",0.741937344729377,3.7453821656051,72420.3,1,0,1
"B Class",2015,11240,"Automatic",47000,"Diesel",125,56.5,2.1,"B Class","2015-2020",0.741937344729377,4.16300884955752,75638.98,1,0,2
"GLC Class",2019,37980,"Automatic",6200,"Petrol",145,34,3,"G Class","2015-2020",1.09861228866811,6.91794117647059,9977.908,1,1,5
"C Class",2019,28980,"Automatic",5500,"Diesel",145,60.1,2,"C Class","2015-2020",0.693147180559945,3.91364392678869,8851.37,1,0,3
"C Class",2019,23280,"Automatic",3908,"Petrol",145,44.1,1.5,"C Class","2015-2020",0.405465108108164,5.33356009070295,6289.30072,1,1,3
"C Class",2019,32980,"Automatic",2000,"Diesel",145,64.2,2,"C Class","2015-2020",0.693147180559945,3.66370716510903,3218.68,1,0,3
"M Class",2008,5990,"Automatic",110000,"Diesel",555,28.8,3,"G Class","2005-2010",1.09861228866811,8.16701388888889,177027.4,1,0,5
"A Class",2013,7300,"Automatic",54000,"Diesel",30,65.7,1.8,"A Class","2010-2015",0.587786664902119,3.58006088280061,86904.36,1,0,1
"S Class",2014,41980,"Automatic",26000,"Petrol",555,28,5.5,"S Class","2010-2015",1.70474809223843,8.40035714285714,41842.84,1,1,6
"GL Class",2007,7340,"Automatic",104000,"Diesel",570,28.8,3,"G Class","2005-2010",1.09861228866811,8.16701388888889,167371.36,1,0,5
"GL Class",2007,8490,"Automatic",74000,"Diesel",570,28.8,3,"G Class","2005-2010",1.09861228866811,8.16701388888889,119091.16,1,0,5
"C Class",2009,4480,"Automatic",130000,"Diesel",300,37.7,3,"C Class","2005-2010",1.09861228866811,6.23899204244032,209214.2,1,0,3
"S Class",2016,24880,"Automatic",75000,"Hybrid",190,42.4,3.5,"S Class","2015-2020",1.25276296849537,5.54740566037736,120700.5,1,1,6
"E Class",2015,17480,"Automatic",22000,"Diesel",140,53.3,3,"E Class","2015-2020",1.09861228866811,4.41294559099437,35405.48,1,0,4
"E Class",2007,4880,"Automatic",58000,"Diesel",315,37.2,3,"E Class","2005-2010",1.09861228866811,6.32284946236559,93341.72,1,0,4
"S Class",2015,38980,"Automatic",11000,"Petrol",270,33.2,4.7,"S Class","2015-2020",1.54756250871601,7.08463855421687,17702.74,1,1,6
"SLK",2010,7495,"Manual",59147,"Petrol",300,36.2,1.8,"S Class","2010-2015",0.587786664902119,6.4975138121547,95187.63298,0,1,6
"C Class",2007,3790,"Automatic",99000,"Petrol",555,28.8,2.5,"C Class","2005-2010",0.916290731874155,8.16701388888889,159324.66,1,1,3
"C Class",2007,3890,"Automatic",87000,"Petrol",325,32.5,1.8,"C Class","2005-2010",0.587786664902119,7.23723076923077,140012.58,1,1,3
"CL Class",2015,17863,"Semi-Auto",14360,"Diesel",20,62.8,2.1,"A Class","2015-2020",0.741937344729377,3.7453821656051,23110.1224,1,0,1
"GLA Class",2015,17624,"Automatic",29505,"Diesel",125,55.4,2.1,"A Class","2015-2020",0.741937344729377,4.2456678700361,47483.5767,1,0,1
"A Class",2018,18220,"Automatic",10361,"Diesel",145,68.9,1.5,"A Class","2015-2020",0.405465108108164,3.41378809869376,16674.37174,1,0,1
"SL CLASS",2017,18775,"Automatic",19522,"Diesel",30,70.6,2.1,"S Class","2015-2020",0.741937344729377,3.33158640226629,31417.53548,1,0,6
"SL CLASS",2017,20745,"Automatic",23103,"Diesel",30,70.6,2.1,"S Class","2015-2020",0.741937344729377,3.33158640226629,37180.58202,1,0,6
"A Class",2019,18118,"Automatic",15561,"Diesel",145,68.9,1.5,"A Class","2015-2020",0.405465108108164,3.41378809869376,25042.93974,1,0,1
"A Class",2019,17990,"Automatic",14783,"Diesel",145,65.7,1.5,"A Class","2015-2020",0.405465108108164,3.58006088280061,23790.87322,1,0,1
"SL CLASS",2019,28491,"Semi-Auto",9477,"Petrol",145,47.1,2,"S Class","2015-2020",0.693147180559945,4.99384288747346,15251.71518,1,1,6
"A Class",2018,18888,"Automatic",11565,"Diesel",145,67.3,1.5,"A Class","2015-2020",0.405465108108164,3.49494799405646,18612.0171,1,0,1
"A Class",2019,19840,"Automatic",6781,"Petrol",145,28.5,1.3,"A Class","2015-2020",0.262364264467491,8.25298245614035,10912.93454,1,1,1
"A Class",2019,18241,"Automatic",15722,"Diesel",145,65.7,1.5,"A Class","2015-2020",0.405465108108164,3.58006088280061,25302.04348,1,0,1
"A Class",2019,18141,"Automatic",15689,"Diesel",145,65.7,1.5,"A Class","2015-2020",0.405465108108164,3.58006088280061,25248.93526,1,0,1
"GLS Class",2016,37385,"Automatic",21169,"Diesel",305,37.2,3,"G Class","2015-2020",1.09861228866811,6.32284946236559,34068.11846,1,0,5
"CLS Class",2017,26166,"Automatic",9165,"Diesel",150,51.4,3,"S Class","2015-2020",1.09861228866811,4.57607003891051,14749.6011,1,0,6
"B Class",2019,24616,"Automatic",3710,"Diesel",145,55.4,2,"B Class","2015-2020",0.693147180559945,4.2456678700361,5970.6514,1,0,2
"C Class",2019,30403,"Automatic",3000,"Petrol",145,46.3,1.5,"C Class","2015-2020",0.405465108108164,5.08012958963283,4828.02,1,1,3
