model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 E Class,2007,4880,Automatic,58000,Diesel,315,37.2,3.0
 S Class,2015,38980,Automatic,11000,Petrol,270,33.2,4.7
 SLK,2010,7495,Manual,59147,Petrol,300,36.2,1.8
 C Class,2007,3790,Automatic,99000,Petrol,555,28.8,2.5
 C Class,2007,3890,Automatic,87000,Petrol,325,32.5,1.8
 CL Class,2015,17863,Semi-Auto,14360,Diesel,20,62.8,2.1
 GLA Class,2015,17624,Automatic,29505,Diesel,125,55.4,2.1
 A Class,2018,18220,Automatic,10361,Diesel,145,68.9,1.5
 SL CLASS,2017,18775,Automatic,19522,Diesel,30,70.6,2.1
 SL CLASS,2017,20745,Automatic,23103,Diesel,30,70.6,2.1
 A Class,2019,18118,Automatic,15561,Diesel,145,68.9,1.5
 A Class,2019,17990,Automatic,14783,Diesel,145,65.7,1.5
 SL CLASS,2019,28491,Semi-Auto,9477,Petrol,145,47.1,2.0
 A Class,2018,18888,Automatic,11565,Diesel,145,67.3,1.5
 A Class,2019,19840,Automatic,6781,Petrol,145,28.5,1.3
 A Class,2019,18241,Automatic,15722,Diesel,145,65.7,1.5
 A Class,2019,18141,Automatic,15689,Diesel,145,65.7,1.5
 GLS Class,2016,37385,Automatic,21169,Diesel,305,37.2,3.0
 CLS Class,2017,26166,Automatic,9165,Diesel,150,51.4,3.0
 B Class,2019,24616,Automatic,3710,Diesel,145,55.4,2.0
